SKU;GRUPO;FAMILIA;TITULO;COLOR;URL_SKU1
2045051-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO, BEIGE;BEIGE;https://liolaweb.cl/223/2045051_1.jpg
2380212-400;BOTTOMS;PANTALONES;JEANS PALAZZO, TIRO MEDIO, CRUDO;CRUDO;https://liolaweb.cl/223/2380212_1.jpg
2393011-400;PDA;TEJIDOS;CÁRDIGAN TEJIDO MIX LISO Y LUREX, NEGRO;NEGRO;https://liolaweb.cl/223/2393011_1.jpg
2393428-400;PDA;TEJIDOS;CÁRDIGAN TEJIDO MIX LISO Y LUREX, GRIS;GRIS;https://liolaweb.cl/223/2393428_1.jpg
2904212-400;PDA;TEJIDOS;CÁRDIGAN TEJIDO CRUDO, APLICACIÓN DE STRASS EN CUELLO;CRUDO;https://liolaweb.cl/223/2904212_1.jpg
3041081-223;PDA;TEJIDOS;JERSEY TEJIDO BÁSICO, VERDE;VERDE;https://liolaweb.cl/223/3041081_1.jpg
3805011-223;OUTERWEAR;ABRIGOS;ABRIGO CLÁSICO LARGO ENTALLADO MUFLÓN NEGRO;NEGRO;https://liolaweb.cl/223/3805011_1.jpg
3808011-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO MUFLÓN NEGRO, APLICACIÓN METAL;NEGRO;https://liolaweb.cl/223/3808011_1.jpg
3808022-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO MUFLÓN FRESA, APLICACIÓN METAL;FRESA;https://liolaweb.cl/223/3808022_1.jpg
3809131-223;OUTERWEAR;ABRIGOS;ABRIGO LARGO ENTALLADO MUFLÓN NARANJO, BOTÓN JOYA;NARANJO;https://liolaweb.cl/223/3809131_1.jpg
3809224-223;OUTERWEAR;ABRIGOS;ABRIGO LARGO ENTALLADO MUFLÓN CAMEL, BOTÓN JOYA;CAMEL;https://liolaweb.cl/223/3809224_1.jpg
3810011-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN ENTALLADO MUFLÓN NEGRO CON LAZO ;NEGRO;https://liolaweb.cl/223/3810011_1.jpg
3812011-223;OUTERWEAR;CHAQUETAS;CHAQUETA ENTALLADA CORTA MUFLÓN NEGRO, BOTÓN JOYA;NEGRO;https://liolaweb.cl/223/3812011_1.jpg
3812131-223;OUTERWEAR;CHAQUETAS;CHAQUETA ENTALLADA CORTA MUFLÓN NARANJO, BOTÓN JOYA;NARANJO;https://liolaweb.cl/223/3812131_1.jpg
3813011-223;OUTERWEAR;CHAQUETAS;CHAQUETA SEMI BOMBER CORTA, MUFLÓN NEGRO, BROCHE OJETILLO;NEGRO;https://liolaweb.cl/223/3813011_1.jpg
3816405-223;OUTERWEAR;CHAQUETAS;BLAZER ENTALLADO CUADRILLE, BEIGE;BEIGE;https://liolaweb.cl/223/3816405_1.jpg
3819081-223;OUTERWEAR;CHAQUETAS;CHAQUETA CORTA ENTALLADA, TERCIOPELO ALGODÓN VERDE;VERDE;
3819574-223;OUTERWEAR;CHAQUETAS;CHAQUETA CORTA ENTALLADA, TERCIOPELO ALGODÓN OCÉANO;OCÉANO;
3824051-223;BOTTOMS;PANTALONES;PANTALÓN ANCHO TIRO ALTO, BEIGE;BEIGE;https://liolaweb.cl/223/3824051_1.jpg
3825011-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO NEGRO;NEGRO;https://liolaweb.cl/223/3825011_1.jpg
3825051-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO BEIGE;BEIGE;https://liolaweb.cl/223/3825051_1.jpg
3827051-223;BOTTOMS;PANTALONES;PANTALÓN ANCHO CROPPED TIRO ALTO, BEIGE;BEIGE;https://liolaweb.cl/223/3827051_1.jpg
3828011-223;OUTERWEAR;CHAQUETAS;CHAQUETA ENTALLADA CORTA NEGRO;NEGRO;https://liolaweb.cl/223/3828011_1.jpg
3828212-223;OUTERWEAR;CHAQUETAS;CHAQUETA ENTALLADA CORTA CRUDO;CRUDO;https://liolaweb.cl/223/3828212_1.jpg
3833011-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO, NEGRO;NEGRO;https://liolaweb.cl/223/3833011_1.jpg
3833212-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO, CRUDO;CRUDO;https://liolaweb.cl/223/3833212_1.jpg
3838022-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO TERCIOPELO ALGODÓN FRESA;FRESA;
3838081-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO TERCIOPELO ALGODÓN VERDE;VERDE;
3838224-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO TERCIOPELO ALGODÓN CAMEL;CAMEL;
3838574-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO TERCIOPELO ALGODÓN OCÉANO;OCÉANO;https://liolaweb.cl/223/3838574_1.jpg
3840022-223;OUTERWEAR;CHAQUETAS;BLAZER LARGO ENTALLADO TERCIOPELO ALGODÓN FRESA, CRUCE SIMULADO;FRESA;https://liolaweb.cl/223/3840022_1.jpg
3845011-223;PDA;TOPS;TOP EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/3845011_1.jpg
3851576-223;BOTTOMS;JEANS;JEANS PALAZZO RELAX, TIRO MEDIO, CELESTE;CELESTE;https://liolaweb.cl/223/3851576_1.jpg
3853572-223;BOTTOMS;JEANS;JEANS FLARE, TIRO MEDIO CON CINTURÓN, AZUL;AZUL;https://liolaweb.cl/223/3853572_1.jpg
3854281-223;BOTTOMS;JEANS;JEANS FLARE, TIRO MEDIO, DESGASTADO, GRIS;GRIS;https://liolaweb.cl/223/3854281_1.jpg
3859011-223;BOTTOMS;JEANS;JEANS SLOUCHY, TIRO ALTO, NEGRO;NEGRO;https://liolaweb.cl/223/3859011_1.jpg
3862011-223;BOTTOMS;JEANS;JEANS SLIM, TIRO MEDIO, APLICACIÓN STRASS, NEGRO;NEGRO;https://liolaweb.cl/223/3862011_1.jpg
3863011-223;BOTTOMS;JEANS;JEANS SKINNY, TIRO MEDIO, NEGRO;NEGRO;https://liolaweb.cl/223/3863011_1.jpg
3868011-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO, NEGRO CON LUREX;NEGRO;https://liolaweb.cl/223/3868011_1.jpg
3868023-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO, FUCSIA CON LUREX;FUCSIA;https://liolaweb.cl/223/3868023_1.jpg
3868224-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO, CAMEL CON LUREX;CAMEL;https://liolaweb.cl/223/3868224_1.jpg
3869011-223;PDA;POLERAS;JERSEY TEJIDO LUREX, CUELLO RETRO PABILOS, NEGRO;NEGRO;https://liolaweb.cl/223/3869011_1.jpg
3870011-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO REDONDO NEGRO, APLICACIÓN STRASS;NEGRO;https://liolaweb.cl/223/3870011_1.jpg
3870022-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO REDONDO FRESA, APLICACIÓN STRASS;FRESA;https://liolaweb.cl/223/3870022_1.jpg
3870212-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO REDONDO CRUDO, APLICACIÓN STRASS;CRUDO;https://liolaweb.cl/223/3870212_1.jpg
3870428-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO REDONDO GRIS, APLICACIÓN STRASS;GRIS;https://liolaweb.cl/223/3870428_1.jpg
3873011-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO NEGRO;NEGRO;https://liolaweb.cl/223/3873011_1.jpg
3874428-223;PDA;TEJIDOS;JERSEY TEJIDO TIPO CÁRDIGAN GRIS;GRIS;https://liolaweb.cl/223/3874428_1.jpg
3875428-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO  GRIS MELANGE;GRIS;https://liolaweb.cl/223/3875428_1.jpg
3875453-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO  ROSA MELANGE;ROSA;https://liolaweb.cl/223/3875453_1.jpg
3880422-223;PDA;TEJIDOS;JERSEY TEJIDO TIPO CÁRDIGAN CAFÉ;CAFÉ;https://liolaweb.cl/223/3880422_1.jpg
3881401-223;OUTERWEAR;ABRIGOS;ABRIGO LARGO RECTO TEJIDO JACQUARD NEGRO;NEGRO;https://liolaweb.cl/223/3881401_1.jpg
3882011-223;PDA;TEJIDOS;JERSEY TEJIDO, VOLADOS EN SISAS, NEGRO;NEGRO;https://liolaweb.cl/223/3882011_1.jpg
3883224-223;PDA;TEJIDOS;JERSEY TEJIDO TIPO CHAQUETA CAMEL;CAMEL;https://liolaweb.cl/223/3883224_1.jpg
3884011-223;PDA;TEJIDOS;JERSEY TEJIDO ESCOTE EN V NEGRO, APLICACIÓN BOTONES;NEGRO;https://liolaweb.cl/223/3884011_1.jpg
3884131-223;PDA;TEJIDOS;JERSEY TEJIDO ESCOTE EN V NARANJO, APLICACIÓN BOTONES;NARANJO;https://liolaweb.cl/223/3884131_1.jpg
3884534-223;PDA;TEJIDOS;JERSEY TEJIDO ESCOTE EN V LILA, APLICACIÓN BOTONES;LILA;https://liolaweb.cl/223/3884534_1.jpg
3886428-223;PDA;TEJIDOS;PONCHO TEJIDO, CUELLO SUBIDO, GRIS;GRIS;https://liolaweb.cl/223/3886428_1.jpg
3892012-223;PDA;TEJIDOS;JERSEY LARGO TEJIDO LUREX GRAFITO;GRAFITO;https://liolaweb.cl/223/3892012_1.jpg
3892224-223;PDA;TEJIDOS;JERSEY LARGO TEJIDO LUREX CAMEL;CAMEL;https://liolaweb.cl/223/3892224_1.jpg
3892282-223;PDA;TEJIDOS;JERSEY LARGO TEJIDO LUREX PERLA;PERLA;https://liolaweb.cl/223/3892282_1.jpg
3894401-223;PDA;POLERAS;JERSEY TEJIDO LUREX NEGRO;NEGRO;https://liolaweb.cl/223/3894401_1.jpg
3900011-223;OUTERWEAR;CHAQUETAS;CHAQUETA RECTA, EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/3900011_1.jpg
3903401-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN SEMI RECTO, MUFLÓN MELANGE NEGRO;NEGRO;https://liolaweb.cl/223/3903401_1.jpg
3905011-223;PDA;TAPADOS;CHAQUETÓN RECTO REMACHES, EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/3905011_1.jpg
3929428-223;OUTERWEAR;CHAQUETAS;CHAQUETA CORTA, MUFLÓN MELANGE GRIS;GRIS;https://liolaweb.cl/223/3929428_1.jpg
3930011-223;BOTTOMS;VESTIDOS;VESTIDO RECTO EVASE, EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/3930011_1.jpg
3931011-223;BOTTOMS;PANTALONES;PANTALÓN RECTO TIRO MEDIO, EFECTO CUERO NEGRO;NEGRO;https://liolaweb.cl/223/3931011_1.jpg
3931222-223;BOTTOMS;PANTALONES;PANTALÓN RECTO TIRO MEDIO, EFECTO CUERO CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/3931222_1.jpg
3934011-223;BOTTOMS;PANTALONES;PANTALÓN FLARE CROPPED TIRO ALTO, NEGRO;NEGRO;https://liolaweb.cl/223/3934011_1.jpg
3939011-223;PDA;POLERAS;POLERA APLICACIÓN LENTEJUELAS, NEGRO;NEGRO;https://liolaweb.cl/223/3939011_1.jpg
3942011-223;PDA;POLERAS;POLERA ESTAMPADO TEXTO Y STRASS, NEGRO;NEGRO;https://liolaweb.cl/223/3942011_1.jpg
3942211-223;PDA;POLERAS;POLERA ESTAMPADO TEXTO Y STRASS, BLANCO;BLANCO;https://liolaweb.cl/223/3942211_1.jpg
3943211-223;PDA;POLERAS;POLERA ESTAMPADO PAISLEY STRASS, BLANCO;BLANCO;https://liolaweb.cl/223/3943211_1.jpg
3944011-400;PDA;POLERAS;POLERA ESCOTE CON FOLIA, NEGRO;NEGRO;https://liolaweb.cl/223/3944011_1.jpg
3946401-223;PDA;POLERAS;POLERA LUREX, NEGRO;NEGRO;https://liolaweb.cl/223/3946401_1.jpg
3946405-223;PDA;POLERAS;POLERA LUREX, BEIGE;BEIGE;https://liolaweb.cl/223/3946405_1.jpg
3950211-223;PDA;POLERAS;POLERA ESTAMPADO PITÓN Y TEXTO, BLANCO;BLANCO;https://liolaweb.cl/223/3950211_1.jpg
3953011-223;BOTTOMS;VESTIDOS;VESTIDO RECTO RODILLA, EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/3953011_1.jpg
3954212-223;PDA;POLERAS;POLERA PEDRERÍA TEXTO, CRUDO;CRUDO;https://liolaweb.cl/223/3954212_1.jpg
3955532-223;OUTERWEAR;CHAQUETAS;CHAQUETA AVIADOR DOBLE FAZ, ROSA;ROSA;https://liolaweb.cl/223/3955532_1.jpg
3963011-223;OUTERWEAR;CHAQUETAS;SOBRECAMISA RECTA REMACHES EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/3963011_1.jpg
3966011-400;OUTERWEAR;CHAQUETAS;CHAQUETA BIKER EFECTO CUERO, APLICACIÓN TACHAS, NEGRO;NEGRO;https://liolaweb.cl/223/3966011_1.jpg
3967401-223;OUTERWEAR;CHAQUETONES;ABRIGO SEMI ENTALLADO, MUFLÓN MELANGE NEGRO;NEGRO;https://liolaweb.cl/223/3967401_1.jpg
3967453-223;OUTERWEAR;CHAQUETONES;ABRIGO SEMI ENTALLADO, MUFLÓN MELANGE ROSA;ROSA;https://liolaweb.cl/223/3967453_1.jpg
3971011-223;OUTERWEAR;CHAQUETAS;CHAQUETA AVIADOR DOBLE FAZ NEGRO;NEGRO;https://liolaweb.cl/223/3971011_1.jpg
3976212-223;PDA;POLERAS;BLUSA CAMISERA JERSEY, CRUDO;CRUDO;https://liolaweb.cl/223/3976212_1.jpg
3985011-223;PDA;BLUSAS;BLUSA CAMISERA APLICACIÓN STRASS, NEGRO;NEGRO;https://liolaweb.cl/223/3985011_1.jpg
3994572-223;BOTTOMS;JEANS;JEANS SLIM, TIRO MEDIO, APLICACIÓN STRASS, AZUL;AZUL;https://liolaweb.cl/223/3994572_1.jpg
3997572-223;BOTTOMS;JEANS;JEANS SKINNY TIRO MEDIO, TACHAS, AZUL;AZUL;https://liolaweb.cl/223/3997572_1.jpg
4003131-223;PDA;POLERAS;BEATLE BÁSICO, NARANJO;NARANJO;https://liolaweb.cl/223/4003131_1.jpg
4005301-223;PDA;BLUSAS;BLUSA ESTAMPADO ARLEQUÍN, NEGRO;NEGRO;https://liolaweb.cl/223/4005301_1.jpg
4006283-223;BOTTOMS;PANTALONES;PANTALÓN SKINNY, TIRO MEDIO, FOLIA, PLATEADO;PLATEADO;https://liolaweb.cl/223/4006283_1.jpg
4008011-223;OUTERWEAR;CHAQUETAS;CHAQUETA EFECTO CUERO, APLICACIÓN MATELASSE, NEGRO;NEGRO;https://liolaweb.cl/223/4008011_1.jpg
4008051-223;OUTERWEAR;CHAQUETAS;CHAQUETA EFECTO CUERO, APLICACIÓN MATELASSE, BEIGE;BEIGE;https://liolaweb.cl/223/4008051_1.jpg
4013011-223;BOTTOMS;PANTALONES;PANTALÓN CROPPED EFECTO CUERO, APLICACIÓN OJETILLO, NEGRO;NEGRO;https://liolaweb.cl/223/4013011_1.jpg
4014011-223;BOTTOMS;PANTALONES;PANTALÓN SKINNY TIRO MEDIO, EFECTO CUERO NEGRO;NEGRO;https://liolaweb.cl/223/4014011_1.jpg
4017011-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN RECTO TIPO GAMULAN, EFECTO GAMUZA, NEGRO;NEGRO;https://liolaweb.cl/223/4017011_1.jpg
4030401-223;PDA;POLERAS;POLERA METALIZADA, HOMBRO DESCUBIERTO, NEGRO;NEGRO;https://liolaweb.cl/223/4030401_1.jpg
4032305-223;PDA;POLERAS;BEATLE ESTAMPADO TIGRE, BEIGE;BEIGE;https://liolaweb.cl/223/4032305_1.jpg
4037453-223;OUTERWEAR;CHAQUETAS;CHAQUETA RECTA TEJIDO FANTASÍA, ROSA;ROSA;https://liolaweb.cl/223/4037453_1.jpg
4039222-223;PDA;POLERAS;JERSEY TEJIDO, CUELLO RETRO, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4039222_1.jpg
4040281-223;BOTTOMS;JEANS;JEANS PALAZZO ESTILO CARGO, TIRO ALTO, GRIS;GRIS;https://liolaweb.cl/223/4040281_1.jpg
4048301-223;PDA;VESTIDOS;VESTIDO CAMISERO MIDI ESTAMPADO, NEGRO;NEGRO;https://liolaweb.cl/223/4048301_1.jpg
4050401-223;PDA;POLERAS;POLERA ESTAMPADO FOLIA ANIMAL, NEGRO;NEGRO;https://liolaweb.cl/223/4050401_1.jpg
4051313-223;PDA;BLUSAS;BLUSA SATÍN ESTAMPADO, NARANJO;NARANJO;https://liolaweb.cl/223/4051313_1.jpg
4054011-223;PDA;POLERAS;POLERA ESTAMPADO TEXTO STRASS, NEGRO;NEGRO;https://liolaweb.cl/223/4054011_1.jpg
4055021-223;PDA;BLUSAS;BLUSA CAMISERA ENTALLADA  BOTÓN JOYA, ROJO;ROJO;https://liolaweb.cl/223/4055021_1.jpg
4056301-223;PDA;BLUSAS;BLUSA CAMISERA ESTAMPADA, NEGRO;NEGRO;https://liolaweb.cl/223/4056301_1.jpg
4059211-223;PDA;BLUSAS;BLUSA CAMISERA LARGA BOTÓN CONTRASTE, BLANCO;BLANCO;https://liolaweb.cl/223/4059211_1.jpg
4060413-223;PDA;BLUSAS;BLUSA MAO ESTAMPADA, NARANJO;NARANJO;https://liolaweb.cl/223/4060413_1.jpg
4060457-223;PDA;BLUSAS;BLUSA MAO ESTAMPADA, AZUL;AZUL;https://liolaweb.cl/223/4060457_1.jpg
4062301-223;PDA;BLUSAS;BLUSA CAMISERA GASA ESTAMPADA, NEGRO;NEGRO;https://liolaweb.cl/223/4062301_1.jpg
4063212-223;PDA;BLUSAS;BLUSA CAMISERA, CANESÚ FRUNCES, CRUDO;CRUDO;https://liolaweb.cl/223/4063212_1.jpg
4072212-223;PDA;BLUSAS;BLUSA CAMISERA APLICACIÓN ENCAJE, CRUDO;CRUDO;https://liolaweb.cl/223/4072212_1.jpg
4075428-223;OUTERWEAR;CHAQUETAS;CHAQUETA TIPO SOBRECAMISA, MUFLÓN MELANGE, GRIS;GRIS;https://liolaweb.cl/223/4075428_1.jpg
4076011-223;PDA;POLERAS;POLERA  ALGODÓN RIBB CON BOTÓN JOYA, NEGRO;NEGRO;https://liolaweb.cl/223/4076011_1.jpg
4077051-223;BOTTOMS;PANTALONES;PANTALÓN RECTO TIRO ALTO, BEIGE;BEIGE;https://liolaweb.cl/223/4077051_1.jpg
4078401-223;PDA;POLERAS;POLERA MIX SATÍN TEJIDO, BOLSILLO STRASS, NEGRO;NEGRO;https://liolaweb.cl/223/4078401_1.jpg
4078405-223;PDA;POLERAS;POLERA MIX SATÍN TEJIDO, BOLSILLO STRASS, BEIGE;BEIGE;https://liolaweb.cl/223/4078405_1.jpg
4079401-223;PDA;POLERAS;POLERA LUREX, MIX SATÍN ESTAMPADO, NEGRO;NEGRO;https://liolaweb.cl/223/4079401_1.jpg
4079405-223;PDA;POLERAS;POLERA LUREX, MIX SATÍN ESTAMPADO, BEIGE;BEIGE;https://liolaweb.cl/223/4079405_1.jpg
4080011-223;PDA;POLERAS;POLERA ESTAMPADO FOLIA ANIMAL, NEGRO;NEGRO;https://liolaweb.cl/223/4080011_1.jpg
4080428-223;PDA;POLERAS;POLERA ESTAMPADO FOLIA ANIMAL, GRIS;GRIS;https://liolaweb.cl/223/4080428_1.jpg
4083401-223;PDA;POLERAS;POLERA LUREX, MIX SATÍN ESTAMPADO, NEGRO;NEGRO;https://liolaweb.cl/223/4083401_1.jpg
4084021-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN CLÁSICO MUFLÓN ROJO, FORRO ESTAMPADO;ROJO;https://liolaweb.cl/223/4084021_1.jpg
4084022-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN CLÁSICO MUFLÓN FRESA, FORRO ESTAMPADO;FRESA;https://liolaweb.cl/223/4084022_1.jpg
4084131-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN CLÁSICO MUFLÓN NARANJO, FORRO ESTAMPADO;NARANJO;https://liolaweb.cl/223/4084131_1.jpg
4084224-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN CLÁSICO MUFLÓN CAMEL, FORRO ESTAMPADO;CAMEL;https://liolaweb.cl/223/4084224_1.jpg
4086011-223;OUTERWEAR;CHAQUETAS;BLAZER ENTALLADO EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/4086011_1.jpg
4088011-223;PDA;TAPADOS;TAPADO Y VESTIDO MIDI CON LAZO, NEGRO;NEGRO;https://liolaweb.cl/223/4088011_1.jpg
